title,address,description,price,date,seller,image
2 bedroom flat,"Barons Court, Barons Court, London, W14","ZERO DEPOSIT AVAILABLE. LONG LET. Set on the 2nd floor, this lovely 2 bedroom flat boasts bright and airy interiors, and offers an open-plan living room with well proportioned rooms.","£1,950 pcm",17/05/2022,"Foxtons, Fulham Broadway",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15948/123431600/15948_1203851_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Westbourne Terrace, Paddington, W2","Spacious 2 bedroom ground floor flat. 2 double bedrooms, separate kitchen and living room. Shared Courtyard. Close to Paddington station and Hyde Park. Furnished or unfurnished. Available immediately.","£1,950 pcm",17/05/2022,"Pointview Estates, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/124k/123322/121752107/123322_POINT_005691_IMG_00_0000_max_476x317.jpeg
2 bedroom apartment,"Charleville Court, Charleville Road, London, W14","Well presented 2 double bedroom apartment within 5 minutes of the Piccadilly and District lines at Barons Court underground.   The property comprises of a bright and spacious reception, separate kitchen and stylish bathroom.  Further benefits include wooden floors, big windows and stunn...","£1,700 pcm",13/05/2022,"Lawson Rutter, West Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55611/107605025/55611_LRL30019B2_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Fulham Road, Fulham","A well finished two double bedroom purpose built apartment in the heart of Fulham Broadway. The property has an open plan kitchen living room, two double bedrooms and a modern bathroom.","£1,998 pcm",12/05/2022,"Dexters, Fulham",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84794/123285920/84794_31488437_IMG_00_0000_max_476x317.jpeg
2 bedroom apartment,"Sedlescombe Road, LONDON, SW6","A recently renovated two bedroom garden flat on a quiet residential road close to amenities. Accomodation briefly comprises a large reception room, modern seperate kitchen with space for dining, two double bedrooms, one modern bathroom and access to a good sized private garden to the rear. Locate...","£2,000 pcm",09/05/2022,"Featherstone Leigh, Fulham - Lettings",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51695/96566149/51695_FUL120096_L_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Finborough Road, SW10","A south facing First Floor Flat set within this handsome period building in west Chelsea. The accommodation is close to Brompton parks and Earls Court tube station. Benefits of living here include: high ceilings, open plan kitchen, modern bathroom and two double bedrooms with built in storage EPC...","£1,842 pcm",04/05/2022,"John D Wood & Co. Lettings, Earls Court",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92014/123076733/92014_000067293_IMG_00_0000_max_476x317.jpeg
2 bedroom apartment,"Comeragh Road, Ground Floor Flat, London, Greater London, W14","Beautiful, refurbished two bedroom flat in fantastic location! Open-plan living with brand new kitchen, two double bedrooms, located moments from tube! Comeragh Road, W14!","£1,755 pcm",29/04/2022,"Shaws Kensington, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41814/122921138/41814_SHW_SHW_LFSYCL_354_508122954_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Stanwick Road, West Kensigton","A bright and spacious top floor two bedroom property that is centrally located on a quiet residential road near Kensington Olympia. The property has a large reception room, a separate kitchen and wood floor throughout.","£1,999 pcm",27/04/2022,"Dexters, West Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84827/84868902/84827_31453226_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Ifield Road, West Brompton",A well presented two double bedroom flat to let furnished on the first floor of a Victorian conversion located between Old Brompton Road and Fulham Road.,"£1,950 pcm",26/04/2022,"Dexters, South Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/51k/50701/122818922/50701_31447914_IMG_00_0000_max_476x317.jpeg
2 bedroom apartment,"Mornington Avenue, London, UK, W14","Spacious two double bedroom apartment forming part of an imposing period property located within close proximity of West Kensington underground station. Accommodation briefly comprises; a large bright reception room with space for dining leading through to the kitchen, two good-sized double bedro...","£1,850 pcm",25/04/2022,"Featherstone Leigh, Fulham - Lettings",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51695/110668808/51695_FUL170065_L_IMG_07_0000_max_476x317.jpeg
2 bedroom flat,"Kensington Church Street, London, W8",A well presented two bedroom flat in a desirable London location. ,"£1,995 pcm",11/04/2022,"Woodhouse Estates, Friern Barnet",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77192/122160227/77192_9OLAF_IMG_00_0001_max_476x317.png
2 bedroom flat,"Queen's Club Gardens, West Kensington","A light and spacious two bedroom apartment in the ever popular Queens Club Gardens. The property has a large reception room, a separate kitchen and would be ideal for professional sharers.","£1,950 pcm",06/04/2022,"Dexters, West Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84827/122053034/84827_31407136_IMG_00_0000_max_476x317.jpeg
2 bedroom flat,"Parkgate Road, Battersea, London, SW11",LONG LET. This great 2 bedroom Flat provides well proportioned living space in a well maintained residential development overlooking Battersea Park.,"£2,000 pcm",04/02/2022,"Foxtons, Battersea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15966/119523773/15966_1192036_IMG_01_0000_max_476x317.jpeg
2 bedroom flat,"LONDON, W14",An impressive Basement flat with two bedrooms and one bathroom. The apartment has a very large reception leading into the kitchen with fully integrated appliances. It is also perfectly located for easy access to transport links with Earls Court and Kensington tube station just 10 - 15 minutes wal...,"£1,800 pcm",28/01/2022,"Approved Property Services Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/234k/233453/123601598/233453_approved_278550959_IMG_00_0000_max_476x317.jpeg
2 bedroom apartment,"Whistler Tower, Edith Grove, London","Brinkley's of Putney are pleased to offer this stunning, 10th floor apartment. With outstanding views across the river, this property comprises an open-plan living room with a modern kitchen, two double bedrooms, a south-facing balcony overlooking the river Thames, wooden flooring throughout (cont.)","£1,900 pcm",10/12/2021,"Brinkley's Estate Agents, Putney",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42912/115203659/42912_BRN1026317_IMG_00_0000_max_476x317.jpeg
